Rank,HS6_Code,Short_Name_ENG,ESRI_Score
510,331218,Repair and maintenance of,0.0015409172529365753
511,331211,Repair and maintenance of,0.0015335042821272634
512,236410,Factory made mortars,0.0014946516739599658
513,309240,Baby carriages,0.0014943386752753896
514,201341,"Sulphides of calcium, of ",0.001483315423688757
515,141932,Garments made up of felt ,0.001475362620955225
516,282310,Accounting machines and s,0.0014677063157741183
517,324011,Dolls representing only h,0.0014377739316350708
518,275113,Cloth washing and drying ,0.0014365394103024068
519,139616,Textile hosepiping and si,0.0014286001093290353
520,289451,Parts and accessories of ,0.0014195444274243997
521,273299,Sub-contracted operations,0.0014195438862533065
522,279082,Parts of electrical resis,0.0014150135137209583
523,263050,Electrical burglar or fir,0.0014150135137209583
524,331711,Repair and maintenance of,0.0014123184082968677
525,271299,Sub-contracted operations,0.0013848172582257424
526,351310,Distribution services of ,0.0013572651555203187
527,161091,Treatment; impregnation a,0.0013481999710181786
528,245310,Light metal castings for ,0.0013419501603363375
529,252912,Containers for compressed,0.0013410769945357795
530,292040,"Reconditioning, assembly,",0.0013346189338792982
531,244311,Refined unwrought lead (e,0.0013268663827950954
532,272022,"Electric accumulators, in",0.001326866382795095
533,272024,Parts of electric accumul,0.001326866382795095
534,283099,Sub-contracted operations,0.0013239873434059987
535,293121,Sparking plugs,0.0013146098298038558
536,263022,Telephones for cellular n,0.0012950438439575747
537,265163,Gas supply or production ,0.001290986638408657
538,289240,"Sorting, screening, separ",0.0012904329928629691
539,257299,Sub-contracted operations,0.001267124120976711
540,201657,"Silicones, in primary for",0.0012529392102767652
541,264020,Tuner blocks for CTV/VCR ,0.0012469872087993196
542,141332,Women’s or girls’ suits &,0.0012419313224457493
543,282513,Refrigerated show-cases a,0.0012220163271062046
