Rank,HS6_Code,Short_Name_ENG,ESRI_Score
509,108214,"Cocoa powder, containing ",83372.76177732248
510,323014,Gymnasium or athletics ar,82107.55763042554
511,171277,"Tarred, bituminised or as",81884.86861570677
512,282214,Overhead travelling crane,81508.10317062902
513,206011,"Aramids staple, not carde",81396.02745704218
514,104124,"Crude rape, colza or must",81329.26708023074
515,264043,Telephonic and measuremen,81152.69628730872
516,281510,Ball bearings,80964.06231985656
517,231212,Toughened (tempered) safe,80939.7598257305
518,139222,"Tarpaulins, awnings and s",80439.82511282474
519,172212,Sanitary towels and tampo,80436.5889675806
520,259212,Aluminium collapsible tub,80430.0641592398
521,282986,Parts of machinery and ap,80089.71944109593
522,103212,Frozen unconcentrated ora,79485.62329714166
523,243311,"Cold-formed sections, obt",79178.32453316728
524,310011,Swivel seats with variabl,79065.51986644024
525,139299,Sub-contracted operations,79059.48982125791
526,106211,Wheat starch,78650.85883624929
527,141230,Men’s or boys’ other garm,78519.6312623842
528,201655,Urea resins and thiourea ,78448.6321406531
529,281531,"Balls, needles and roller",78294.67588368256
530,279012,Electrical insulators (ex,78201.95571742505
531,141324,Men’s or boys’ trousers a,77952.97272175753
532,331214,Repair and maintenance of,77879.1060214633
533,310113,Wooden furniture for shop,77709.71359051488
534,325050,Dental cements and other ,77708.24875823283
535,162319,Builders’ joinery and car,77692.43441691596
536,204214,"Powders, whether or not c",77405.10197880503
537,283086,Forestry machinery,77356.36027425055
538,236399,Sub-contracted operations,77272.59546309928
539,262091,Computers and peripheral ,77118.490581026
540,268014,Cards incorporating a mag,76770.27951651698
541,99019,Support services to other,76678.53624418707
542,243120,"Bars and rods, of high-sp",76604.21070848234
543,108312,Coffee substitutes contai,76103.62535412588
544,267026,Parts and accessories of ,75883.64004454791
545,181211,"Printed new stamps, stamp",75665.12271328951
546,202015,"Inorganic fungicides, bac",75426.23620973791
547,103213,Grapefruit juice,75292.70458183657
548,108411,Wine vinegar,75137.50687330539
549,201463,Acyclic ethers and their ,75137.39654124636
550,141222,Women’s or girls’ trouser,74821.34237906492
551,259312,Barbed wire and barbed wi,74552.79081839444
552,259314,"Nails, tacks, drawing pin",74522.88365900946
553,106220,Residues of starch manufa,74502.82748493708
554,244223,Non-alloy aluminium wire ,74106.71870649618
555,293210,Seats for motor vehicles,73957.88396312637
556,265163,Gas supply or production ,73662.70738810199
557,222313,"Plastic reservoirs, tanks",73405.64744664969
558,243220,"Clad, cold-rolled narrow ",73352.28116556499
559,275220,Iron or steel parts of st,73194.9760633737
560,162112,"Particle board, of wood",73002.07082044984
561,139312,Woven carpets and other w,72970.42099172538
562,331319,Repair and maintenance se,72824.9785529381
563,289332,Parts of machinery of HS ,72616.07326964002
564,202012,Herbicides based on pheno,72478.74968447861
565,151219,Articles of leather or co,72309.70931924469
566,262013,Desk top PCs,72307.5191098182
567,181320,Printing components,72056.67550301207
568,259317,Iron/steel stud-link chai,71988.94693211532
569,108112,Refined white cane or bee,71898.153016447
570,279020,Indicator panels incorpor,71763.15638795053
571,205956,Pickling preparations for,71522.20748064794
572,259923,Base metal fittings for l,70901.63846209105
573,331312,Repair and maintenance of,70674.17579952607
574,172314,Other paper and paperboar,70644.13362007718
575,289318,Machinery for preparing o,70542.46185036295
